path_idx,W_final,improvement,sl_improvement
732,588.2431,609.8657,-94.3115
733,157.5194,164.8024,0.8321
734,3972.4098,4334.4363,0.0
735,928.0063,1033.8461,0.0
736,673.1384,701.3494,0.0
737,690.0832,786.0681,-263.1087
738,159.5389,175.6952,-83.1035
739,7.5752,9.8834,48.5619
740,379.8928,400.9309,-55.4961
741,316.889,383.4188,0.0
742,267.1568,278.6725,9.2217
743,225.6551,307.0718,-12.2046
744,499.054,697.3294,0.0
745,375.958,398.0369,-54.5342
746,450.6045,471.4852,-77.7016
747,173.6113,297.8977,0.0
748,123.537,127.0618,35.9881
749,119.8263,165.0835,-110.2667
750,162.9162,216.2814,-173.4461
751,3150.6702,3736.4234,-1914.4524
752,620.4617,659.3229,0.0
753,748.9376,848.0452,0.0
754,128.5017,268.0124,-473.5467
755,-103.8741,193.8606,0.0
756,135.7662,163.2576,-75.7285
757,180.7846,246.6514,-214.8289
758,227.0908,254.7891,-87.1158
759,394.0842,507.1097,0.0
760,169.9312,186.9337,-29.1816
761,379.4222,412.2472,-52.0125
762,1383.6105,1503.5662,0.0
763,93.6567,94.7175,65.9145
764,65.0207,104.3422,-158.8661
765,91.2253,96.8186,30.4544
766,717.4348,978.795,0.0
767,-212.3648,-31.4795,-772.626
768,211.7479,364.8257,-429.7762
769,654.7954,804.6429,0.0
770,140.4382,145.1421,27.0989
771,-1048.319,-77.2977,0.0
772,225.517,422.0159,0.0
773,390.6874,480.6952,-167.1435
774,184.5116,205.7954,-24.117
775,226.3119,243.451,-75.0546
776,244.8597,263.7853,-71.5522
777,485.0267,632.3741,0.0
778,480.9983,1677.7415,-4449.871
779,228.9405,271.2829,-138.7455
780,124.8401,157.695,-24.6102
781,48.4218,74.4575,-18.8159
782,93.0321,165.3012,-206.2766
783,237.9463,275.6365,-119.8783
784,-140.8974,54.7923,-242.8407
785,414.5322,544.9426,-522.5838
786,-185.7212,265.1066,-300.765
787,389.9805,396.5495,0.5845
788,-273.1223,96.8429,-398.7449
789,311.5468,361.6652,0.0
790,743.6263,845.0211,0.0
791,46.4606,87.5238,-137.719
792,112.2198,174.6987,-106.8417
793,320.7416,393.1864,-25.5265
794,637.3064,713.7301,0.0
795,664.7337,674.6437,25.2603
796,407.4611,439.4092,0.0
797,190.6998,263.7543,-95.156
798,1080.4366,1128.1207,-110.1544
799,600.8048,635.7271,-47.0437
800,167.6477,414.7389,-1041.7865
801,22.4506,48.2883,-72.3067
802,678.4665,709.7415,-12.2836
803,339.6669,351.9177,16.0326
804,210.5013,250.9502,-148.8204
805,175.2617,941.858,0.0
806,157.2681,209.0195,-116.1469
807,93.6618,133.3875,-150.5563
808,437.2236,477.8204,-73.3853
809,114.7679,189.1705,-260.5233
810,2058.4296,2254.904,0.0
811,73.523,412.5223,-774.2846
812,315.3863,334.9232,-54.0353
813,199.8569,205.7847,49.2184
814,724.786,783.7346,0.0
815,-63.2751,45.7936,-389.6547
816,-5.3596,-2.464,72.0126
817,607.7374,692.6648,0.0
818,52.7075,84.0024,-40.2815
819,409.1871,465.9311,0.0
820,99.3762,142.5472,-145.794
821,367.2068,431.7519,0.0
822,189.8431,238.12,-132.3598
823,341.841,361.4133,-78.5849
824,226.0488,411.2666,0.0
825,42.1657,205.1267,-90.8136
826,99.0779,135.7481,-136.2617
827,261.2664,269.925,24.2496
828,74.123,78.6294,59.144
829,210.3639,213.3725,55.8412
830,803.5091,930.2604,-130.685
831,86.1001,107.4995,-92.3413
832,213.6557,231.8391,-49.3187
833,718.3413,759.4563,-87.7221
834,21.2162,27.6931,38.3904
835,29.1336,103.5216,-207.101
836,967.4177,1069.907,0.0
837,204.9977,228.9096,-120.4723
838,1074.0167,1378.661,0.0
839,528.2775,586.1041,-60.9885
840,592.6263,671.6605,0.0
841,2692.122,3139.2161,0.0
842,651.9544,835.5206,0.0
843,860.2017,1012.1242,0.0
844,286.4137,337.5072,-93.8667
845,929.5633,997.5579,0.0
846,71.5707,76.555,12.0907
847,594.3732,634.7701,0.0
848,361.012,424.2621,-35.7063
849,164.094,179.9852,-89.7067
850,-805.7618,-223.574,-1326.4196
851,2175.9407,2226.795,0.0
852,161.5765,285.4859,-290.5182
853,112.4889,125.1436,-32.5125
854,120.1294,121.6007,41.161
855,418.7192,494.0424,0.0
856,600.1188,682.4162,0.0
857,103.4523,121.9985,-65.9973
858,482.8406,537.6775,-66.774
859,606.6428,754.3455,-110.2842
860,-68.3117,49.1678,0.0
861,677.7153,713.825,-23.6464
862,2126.471,2588.6398,-169.5514
863,1157.5245,1334.9145,0.0
864,50.294,52.0127,83.9569
865,64.0777,222.4678,0.0
866,360.0936,419.8137,-136.5534
867,912.7554,996.8664,0.0
868,399.9887,464.2499,-167.8509
869,-707.8296,-112.5704,0.0
870,729.7094,804.5786,0.0
871,1330.9142,1626.5544,-193.6002
872,612.5243,724.697,-208.8461
873,603.7762,752.076,0.0
874,260.8061,270.978,23.9067
875,693.9334,709.7957,-3.1075
876,61.562,76.3473,-33.1755
877,210.8266,333.7555,-283.8007
878,898.3618,1253.7713,-46.6899
879,379.9313,415.075,-53.5104
880,223.6524,237.8403,-61.9803
881,20.4725,26.8893,39.1625
882,151.872,173.0183,-40.4956
883,245.8852,265.5143,-55.4491
884,43.9906,159.0072,0.0
885,60.4529,77.4909,-73.7148
886,761.0697,952.4031,0.0
887,162.1279,170.0093,-23.2215
888,754.9554,851.2124,-33.1369
889,498.4326,544.1584,-55.6721
890,69.7225,72.0897,70.8114
891,42.0176,61.624,-62.9843
892,40.3735,49.6645,34.6774
893,92.0125,102.8523,-10.576
894,606.2348,696.4639,-270.6015
895,118.9588,123.0962,38.4856
896,1070.0098,1126.9166,0.0
897,198.2147,200.2774,56.77
898,149.6507,168.8899,-64.8141
899,181.1459,186.3665,24.526
900,-16.8031,-13.7188,84.3042
901,101.2655,149.6765,-132.9595
902,20.4248,20.4263,66.885
903,176.5333,217.8056,-105.5111
904,119.2429,134.0646,-18.2616
905,45.2916,267.7593,-492.1514
906,131.9719,167.6309,-95.5448
907,1239.0099,1358.8221,-31.9393
908,115.9015,137.6775,-101.1958
909,406.6643,593.1806,0.0
910,438.8915,579.8067,0.0
911,142.5369,168.5028,-72.2969
912,94.7119,130.3723,-143.0802
913,454.3252,554.894,-185.9391
914,120.3832,136.3363,-54.1248
915,701.7651,864.434,-287.0452
916,120.9277,147.4212,-81.6483
917,312.2225,328.1197,-61.0006
918,285.677,308.3434,-39.2458
919,1031.0762,1990.4511,0.0
920,741.4156,803.6128,0.0
921,1885.3629,1943.3725,-19.3953
922,86.0939,166.8946,-129.5272
923,101.0319,110.0266,25.7803
924,289.6085,300.8305,-31.9449
925,837.505,910.0723,-86.0104
926,416.5817,446.9487,-102.6821
927,578.3707,583.7674,49.3921
928,363.9678,376.7662,-24.0246
929,348.1931,361.092,-8.4493
930,582.3616,646.8925,-200.7045
931,155.5709,345.8003,0.0
932,133.547,137.0188,70.541
933,198.9334,221.5871,-110.8614
934,401.7643,441.644,-58.0998
935,361.884,367.2737,56.844
936,2211.8353,2350.215,-52.595
937,442.2356,537.4809,-77.7671
938,517.1924,532.4648,-10.9136
939,503.8067,535.6929,-76.3167
940,279.5296,290.1794,4.7419
941,643.1754,696.0735,0.0
942,291.4574,301.7168,-40.4327
943,625.809,808.6052,-16.4268
944,187.7742,204.2325,-78.8103
945,694.4527,751.9072,-141.9748
946,281.9811,318.6404,-75.3408
947,15.6255,60.3993,-102.7203
948,115.7786,116.4693,97.8311
949,93.6237,98.2676,28.2025
950,498.5226,728.1091,0.0
951,357.097,577.5671,0.0
952,259.297,274.7623,-27.8288
953,151.7828,184.3306,-159.5348
954,477.7086,513.2903,-60.1513
955,510.7244,697.5335,0.0
956,1708.4728,1825.7874,0.0
957,343.662,443.0253,0.0
958,44.7127,266.2366,-494.7284
959,10.3697,57.6806,-91.511
960,524.2186,569.8898,0.0
961,260.5591,278.0521,-50.849
962,185.0429,233.1942,-140.7782
963,1895.5139,1950.2699,0.0
964,157.6074,167.5533,-39.8357
965,698.8436,1004.5986,0.0
966,11.5082,18.7972,40.6272
967,48.4325,103.2438,-158.6202
968,1568.4421,1811.6402,0.0
969,-317.6142,539.7359,0.0
970,241.1536,412.0559,0.0
971,351.318,506.6208,-367.9861
972,650.9272,844.0661,-141.3561
973,131.4096,136.533,25.1426
974,579.4364,1001.4656,0.0
975,42.9552,215.6002,0.0
976,1489.8419,1559.6786,-85.8198
977,391.5968,502.6425,-215.8712
978,233.0918,267.2349,-97.3037
979,154.1605,166.3767,-22.0582
980,134.4917,139.6813,38.3145
981,331.0986,351.8892,-115.9748
982,-227.3306,-17.8886,0.0
983,736.9187,767.8709,-34.7693
984,246.2672,265.9087,-65.5762
985,904.0061,1026.4166,-88.3654
986,975.1269,1019.8356,0.0
987,16.0528,38.3087,-69.6642
988,1058.589,1438.3083,0.0
989,585.3126,606.1236,0.0
990,232.9426,316.7209,-294.0904
