day,S,H,Flr,W,Pi,V,breach,depth,K_L,K_S1,T_L_rem,T_S1_rem,tS,tL,roll_count,breach_days,depth_sum,event
67,202.19883331538594,245.56022932000988,129.230045864002,-90.43549392770706,68.83629039026978,180.59962977794868,0,0.0,272.84541791247494,60.0885,27,100,67,7,3,0,0.0,
68,194.90138917881944,245.56022932000988,129.230045864002,-90.43549392770706,75.93986303954689,180.40575829065926,0,0.0,272.84541791247494,60.0885,26,99,68,8,3,0,0.0,
69,202.27671675931202,245.56022932000988,129.230045864002,-90.43549392770706,68.81638340390344,180.6576062355084,0,0.0,272.84541791247494,60.0885,25,98,69,9,3,0,0.0,
70,209.49540722937363,245.56022932000988,129.230045864002,-90.43549392770706,61.75116486802929,180.81107816969586,0,0.0,272.84541791247494,60.0885,24,97,70,10,3,0,0.0,
71,220.7915064657925,245.56022932000988,129.230045864002,-90.43549392770706,50.569982330385045,180.9259948684705,0,0.0,272.84541791247494,60.0885,23,96,71,11,3,0,0.0,
72,219.47713009345208,245.56022932000988,129.230045864002,-90.43549392770706,51.87973331182403,180.92136947756904,0,0.0,272.84541791247494,60.0885,22,95,72,12,3,0,0.0,
73,220.69097085896294,245.56022932000988,129.230045864002,-90.43549392770706,50.71898828055412,180.97446521181,0,0.0,272.84541791247494,60.0885,21,94,73,13,3,0,0.0,
74,221.4153786493267,245.56022932000988,129.230045864002,-90.43549392770706,50.035112367421554,181.0149970890412,0,0.0,272.84541791247494,60.0885,20,93,74,14,3,0,0.0,
75,228.9707631853268,245.56022932000988,129.230045864002,-90.43549392770706,42.611236834564096,181.14650609218384,0,0.0,272.84541791247494,60.0885,19,92,75,15,3,0,0.0,
76,232.94203331920752,245.56022932000988,129.230045864002,-90.43549392770706,38.71695514579039,181.22349453729086,0,0.0,272.84541791247494,60.0885,18,91,76,16,3,0,0.0,
77,217.80864773589414,245.56022932000988,129.230045864002,-90.43549392770706,53.6494956105028,181.02264941868987,0,0.0,272.84541791247494,60.0885,17,90,77,17,3,0,0.0,
78,218.34759525046294,245.56022932000988,129.230045864002,-90.43549392770706,53.14814112261546,181.06024244537136,0,0.0,272.84541791247494,60.0885,16,89,78,18,3,0,0.0,
79,217.92274826915408,245.56022932000988,129.230045864002,-90.43549392770706,53.59326610292063,181.08052044436766,0,0.0,272.84541791247494,60.0885,15,88,79,19,3,0,0.0,
80,239.3596088080238,245.56022932000988,129.230045864002,-94.8536261444595,34.88965435997473,179.39563702353905,0,0.0,275.2635501292274,60.0885,34,87,80,0,4,0,0.0,ROLL_L
81,223.37034078277782,245.56022932000988,129.230045864002,-94.8536261444595,50.69796777492792,179.21468241324624,0,0.0,275.2635501292274,60.0885,33,86,81,1,4,0,0.0,
82,230.5974378216468,245.56022932000988,129.230045864002,-94.8536261444595,43.57168806947296,179.31549974666027,0,0.0,275.2635501292274,60.0885,32,85,82,2,4,0,0.0,
83,225.86403596016294,245.56022932000988,129.230045864002,-94.8536261444595,48.27176750975445,179.2821773254579,0,0.0,275.2635501292274,60.0885,31,84,83,3,4,0,0.0,
84,224.97433516789033,245.56022932000988,129.230045864002,-94.8536261444595,49.17637640086688,179.2970854242977,0,0.0,275.2635501292274,60.0885,30,83,84,4,4,0,0.0,
85,249.75797290310112,249.75797290310112,130.06959458062025,-94.8536261444595,24.643656733764747,179.54800349240637,0,0.0,275.2635501292274,60.0885,29,82,85,5,4,0,0.0,
86,246.33375873083938,249.75797290310112,130.06959458062025,-94.8536261444595,28.081714143337205,179.56184672971708,0,0.0,275.2635501292274,60.0885,28,81,86,6,4,0,0.0,
87,220.4016865572099,249.75797290310112,130.06959458062025,-94.8536261444595,53.77948275461893,179.32754316736933,0,0.0,275.2635501292274,60.0885,27,80,87,7,4,0,0.0,
88,189.17349582734212,249.75797290310112,130.06959458062025,-94.8536261444595,84.68846408382068,179.0083337667033,0,0.0,275.2635501292274,60.0885,26,79,88,8,4,0,0.0,
89,196.6672187205589,249.75797290310112,130.06959458062025,-94.8536261444595,77.26323127630361,179.07682385240304,0,0.0,275.2635501292274,60.0885,25,78,89,9,4,0,0.0,
90,195.8925270811135,249.75797290310112,130.06959458062025,-94.8536261444595,78.06295255758069,179.10185349423472,0,0.0,275.2635501292274,60.0885,24,77,90,10,4,0,0.0,
91,212.6711691540437,249.75797290310112,130.06959458062025,-94.8536261444595,61.58761940570529,179.40516241528948,0,0.0,275.2635501292274,60.0885,23,76,91,11,4,0,0.0,
92,220.48458269012934,249.75797290310112,130.06959458062025,-94.8536261444595,53.82537630530694,179.4563328509768,0,0.0,275.2635501292274,60.0885,22,75,92,12,4,0,0.0,
93,224.40387441115217,249.75797290310112,130.06959458062025,-94.8536261444595,49.946347715995365,179.49659598268804,0,0.0,275.2635501292274,60.0885,21,74,93,13,4,0,0.0,
94,218.49470465239955,249.75797290310112,130.06959458062025,-94.8536261444595,55.85943310090906,179.5005116088491,0,0.0,275.2635501292274,60.0885,20,73,94,14,4,0,0.0,
95,215.2957645683095,249.75797290310112,130.06959458062025,-94.8536261444595,59.08084223764333,179.52298066149334,0,0.0,275.2635501292274,60.0885,19,72,95,15,4,0,0.0,
96,217.96199190144154,249.75797290310112,130.06959458062025,-94.8536261444595,56.44590173003628,179.5542674870183,0,0.0,275.2635501292274,60.0885,18,71,96,16,4,0,0.0,
97,220.8662016585368,249.75797290310112,130.06959458062025,-94.8536261444595,53.57208282728897,179.58465834136626,0,0.0,275.2635501292274,60.0885,17,70,97,17,4,0,0.0,
98,219.6221678295537,249.75797290310112,130.06959458062025,-94.8536261444595,54.8413822996737,179.60992398476787,0,0.0,275.2635501292274,60.0885,16,69,98,18,4,0,0.0,
99,254.4580786835398,254.4580786835398,131.00961573670799,-94.8536261444595,20.21475715997329,179.8192096990536,0,0.0,275.2635501292274,60.0885,15,68,99,19,4,0,0.0,
100,264.4157594827123,264.4157594827123,133.0011518965425,-125.43747157222424,39.08093535097825,178.05922326146631,0,0.0,304.07812340511913,60.0885,34,67,100,0,5,0,0.0,ROLL_L
101,263.37419963587314,264.4157594827123,133.0011518965425,-125.43747157222424,40.13178091210313,178.06850897575202,0,0.0,304.07812340511913,60.0885,33,66,101,1,5,0,0.0,
102,252.26968535506273,264.4157594827123,133.0011518965425,-125.43747157222424,51.245580907199255,178.07779469003776,0,0.0,304.07812340511913,60.0885,32,65,102,2,5,0,0.0,
103,253.1563986781974,264.4157594827123,133.0011518965425,-125.43747157222424,50.36815329835029,178.08708040432344,0,0.0,304.07812340511913,60.0885,31,64,103,3,5,0,0.0,
